player_name,matches,runs,wickets,strike_rate,average
Kane Rahul,75,1920,24,158.19,25.6
Kane Kohli,80,3493,88,138.04,43.66
Kane Stokes,24,2790,94,131.31,116.25
Rohit Stokes,89,2089,99,123.83,23.47
KL Pandya,193,1204,29,150.23,6.24
Virat Warner,59,2944,37,149.11,49.9
MS Warner,33,1384,141,114.82,41.94
Rohit Williamson,31,4024,145,130.71,129.81
KL Gayle,64,336,109,111.73,5.25
David Kohli,62,2373,112,109.71,38.27
Chris Gayle,162,1064,90,158.57,6.57
Kane Rahul,190,4489,35,107.26,23.63
Ben Gayle,143,3174,112,107.15,22.2
David Dhoni,123,406,31,111.02,3.3
Hardik Kohli,159,3386,1,112.64,21.3
Rohit Dhoni,126,2809,126,137.5,22.29
KL Sharma,99,707,13,103.94,7.14
Chris Pandya,180,2554,72,156.19,14.19
David Pandya,132,110,122,126.83,0.83
Steve Williamson,151,4466,147,128.09,29.58
Rohit Dhoni,163,4987,48,129.29,30.6
Hardik Gayle,161,3591,8,117.97,22.3
Rohit Dhoni,162,2830,108,159.94,17.47
Rohit Smith,189,4795,11,135.59,25.37
Ben Sharma,32,4741,112,128.94,148.16
Steve Pandya,125,4862,109,135.16,38.9
Steve Pandya,32,3298,71,109.39,103.06
Virat Gayle,137,3990,4,135.78,29.12
Ben Williamson,111,2217,68,148.88,19.97
Virat Gayle,174,514,25,149.97,2.95
Rohit Warner,37,4926,91,148.91,133.14
Rohit Kohli,172,915,43,122.45,5.32
Steve Kohli,131,2447,83,138.34,18.68
Chris Stokes,99,4867,11,150.83,49.16
Kane Warner,60,2685,63,136.83,44.75
Rohit Stokes,74,2944,139,114.56,39.78
Ben Williamson,148,314,72,142.71,2.12
Ben Dhoni,197,1916,75,103.93,9.73
Virat Smith,150,1176,46,111.29,7.84
Ben Stokes,134,2765,79,124.9,20.63
MS Dhoni,24,1072,149,146.94,44.67
Rohit Sharma,45,2729,118,135.68,60.64
Virat Pandya,16,1922,14,113.29,120.12
David Pandya,70,803,12,126.75,11.47
