transaction_id,customer_id,amount,date
1,90052,260.18,2024-12-09
2,75366,349.79,2024-12-21
3,38421,699.33,2023-10-14
4,95528,168.14,2025-03-21
5,96027,645.54,2025-07-08
6,83559,92.72,2025-05-10
7,21732,578.38,2023-11-23
8,88570,164.07,2025-04-29
9,36614,904.74,2025-04-23
10,24744,656.2,2023-10-08
11,96358,137.61,2024-01-02
12,22486,678.06,2025-04-12
13,98533,618.7,2025-07-03
14,86293,244.21,2024-01-17
15,600,947.18,2023-12-24
16,81646,704.33,2024-10-01
17,48464,811.24,2025-03-27
18,51688,969.2,2024-12-10
19,33930,572.19,2024-03-03
20,52969,481.6,2024-06-28
21,98027,617.96,2023-09-03
22,37376,957.74,2023-11-05
23,659,383.27,2023-10-31
24,98476,247.19,2025-03-03
25,89728,323.75,2024-01-19
26,89397,439.71,2024-11-30
27,14185,220.57,2024-09-16
28,37011,747.77,2025-04-10
29,27516,711.53,2024-01-23
30,95184,545.83,2023-12-10
31,39165,378.89,2024-03-01
32,88436,392.56,2023-10-06
33,67939,258.2,2023-10-04
34,31445,595.29,2024-04-12
35,63383,149.73,2024-04-23
36,9054,475.97,2025-03-06
37,37124,928.19,2024-12-13
38,71437,64.56,2024-09-06
39,11546,453.6,2023-10-03
40,44362,393.83,2025-02-16
41,37517,528.46,2024-02-02
42,72182,941.08,2024-06-09
43,32813,13.29,2023-10-26
44,73534,991.45,2024-09-04
45,9147,376.64,2024-11-28
46,95895,222.73,2023-08-24
47,46807,199.95,2024-06-29
48,22850,816.45,2024-02-05
49,60313,848.72,2024-05-29
50,6680,384.77,2024-10-24
51,69573,162.27,2023-10-29
52,1755,59.03,2025-05-18
53,80464,474.39,2025-01-29
54,63118,427.65,2025-04-13
55,94745,256.56,2023-09-19
56,18389,184.33,2024-05-20
57,21358,504.3,2024-06-13
58,38090,475.77,2025-03-14
59,60968,551.96,2023-08-01
60,79987,795.01,2024-03-06
61,39717,969.37,2024-01-18
62,91102,881.51,2024-09-09
63,28077,23.96,2025-06-23
64,71027,506.68,2025-06-04
65,83789,85.88,2023-10-11
66,33442,877.36,2025-03-30
67,98962,588.25,2023-09-30
68,72955,416.83,2024-07-28
69,82952,138.28,2024-11-19
70,95565,710.09,2024-05-18
71,73062,824.44,2025-06-04
72,98732,406.48,2025-01-17
73,5572,288.36,2023-07-11
74,83638,638.27,2024-08-27
75,40729,799.65,2023-07-31
76,33801,874.68,2024-02-09
77,91729,627.1,2024-07-10
78,95373,163.13,2023-12-05
79,3701,694.12,2024-05-13
80,8826,689.81,2024-04-04
81,19392,401.07,2023-12-11
82,27107,101.97,2024-11-21
83,27066,720.08,2023-11-24
84,52474,575.37,2023-10-27
85,25007,235.63,2023-09-14
86,54356,152.89,2024-10-30
87,19998,861.54,2024-01-24
88,7581,808.69,2023-11-22
89,49337,228.79,2024-07-20
90,1701,572.63,2025-06-01
91,79155,25.42,2023-12-05
92,25488,935.64,2024-07-01
93,8801,175.78,2024-01-08
94,70179,973.6,2025-05-07
95,43530,519.91,2024-02-27
96,60973,533.19,2024-01-08
97,35414,897.78,2024-01-29
98,25244,986.01,2025-06-10
